DATAFLOW,LAST UPDATE,freq,c_dest,purpose,duration,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,AL,2017,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,AL,2019,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,AL,2020,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,AT,2012,192295,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,AT,2013,218894,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,AT,2014,242213,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,AT,2015,260740,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,AT,2016,133567,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,AT,2017,236505,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,AT,2018,264763,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,AT,2019,267272,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,AT,2020,59299,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,AT,2021,42140,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,AT,2022,260472,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,AT,2023,303582,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,BE,2012,449413,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,BE,2013,568082,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,BE,2014,412783,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,BE,2015,413328,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,BE,2016,311501,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,BE,2017,501018,b
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,BE,2018,591077,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,BE,2019,633504,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,BE,2020,243342,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,BE,2021,186973,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,BE,2022,558291,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,BE,2023,652962,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,BG,2012,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,BG,2013,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,BG,2014,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,BG,2015,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,BG,2016,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,BG,2017,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,BG,2018,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,BG,2019,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,BG,2021,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,BG,2022,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,BG,2023,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,CH,2012,481309,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,CH,2013,405839,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,CH,2014,267054,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,CH,2015,251734,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,CH,2016,210652,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,CH,2017,365049,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,CH,2018,416633,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,CH,2019,472112,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,CH,2020,173270,
